,aircraft,travellers_type,Seat_type,route,date_flown
1304,"Boeing 787-9, A380",Business,Premium Economy,Kuala Lumpur to London Heathrow,September 2018
1305,A319,Couple Leisure,Business Class,Los Angeles to Leeds via London Heathrow,June 2018
1306,A320,Couple Leisure,Business Class,Brindisi to London,September 2018
1307,A380,Couple Leisure,Premium Economy,Chicago to London,September 2018
1308,,Family Leisure,Economy Class,Berlin to London,September 2018
1309,Boeing 777,Solo Leisure,Premium Economy,Riyadh to London,August 2018
1310,A320 / Boeing 787-9,Couple Leisure,Economy Class,Rome to Newark via London,September 2018
1311,Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,September 2018
1312,Boeing 777-200,Couple Leisure,First Class,London Heathrow to Dubai,September 2018
1313,A320,Couple Leisure,Economy Class,Heraklion to Gatwick,September 2018
1314,Boeing 767,Solo Leisure,Business Class,Madrid to London Heathrow,September 2018
1315,A321,Couple Leisure,Business Class,London Heathrow to Brindisi,September 2018
1316,A320,Business,Economy Class,London to Madrid,July 2018
1317,,Couple Leisure,Economy Class,Hamburg to London,September 2018
1318,Boeing 747,Solo Leisure,Premium Economy,Glasgow to Miami via London,August 2018
1319,Airbus A32,Solo Leisure,Economy Class,London Heathrow to Budapest,August 2018
1320,A320,Solo Leisure,Economy Class,Budapest to London Heathrow,September 2018
1321,A319 / Boeing 787-9,Family Leisure,Business Class,Pisa to Toronto via London,September 2018
1322,,Business,Business Class,Madrid to Heathrow,August 2018
1323,,Solo Leisure,Economy Class,Singapore to London,August 2018
1324,Boeing 747-400 / A319,Solo Leisure,Economy Class,Washington to Frankfurt via London,August 2018
1325,,Family Leisure,Economy Class,Rome to London,August 2018
1326,A380,Solo Leisure,Economy Class,London Heathrow to Hong Kong,August 2018
1327,A318,Solo Leisure,Economy Class,London Heathrow to Düsseldorf,August 2018
1328,A320,Couple Leisure,Business Class,London to Athens,August 2018
1329,A380,Family Leisure,First Class,London Heathrow to Singapore,July 2018
1330,Boeing 787,Couple Leisure,Premium Economy,Philadelphia to London,August 2018
1331,Boeing 747-400,Family Leisure,Economy Class,London to Las Vegas,July 2018
1332,,Business,Business Class,Zagreb to London,August 2018
1333,A380,Family Leisure,Business Class,Los Angeles to Milan via London,August 2018
1334,Boeing 777,Solo Leisure,Premium Economy,Toronto to London,August 2018
1335,A380,Couple Leisure,Business Class,San Francisco to London Heathrow,July 2018
1336,,Solo Leisure,Economy Class,London to Dublin,August 2018
1337,A321,Couple Leisure,Economy Class,London to Paris,January 2018
1338,A320,Couple Leisure,Economy Class,Amsterdam to London,June 2018
1339,Boeing 777,Solo Leisure,First Class,New York JFK to London,August 2018
1340,,Couple Leisure,Economy Class,Amman to London,April 2018
1341,A320,Couple Leisure,Business Class,Paphos to Gatwick,July 2018
1342,A320,Couple Leisure,Business Class,Gatwick to Paphos,July 2018
1343,Boeing 747-400,Family Leisure,Business Class,New York to Nairobi via London,July 2018
1344,,Business,Economy Class,Istanbul to London Heathrow,July 2018
1345,,Family Leisure,Economy Class,Heathrow to Milan,July 2018
1346,Boeing 787-9,Business,Premium Economy,London to Santiago de Chile,July 2018
1347,Boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle Tacoma,July 2018
1348,A320-200,Family Leisure,Economy Class,London Gatwick to Tirana Rinas,July 2018
1349,A320,Couple Leisure,Economy Class,London to Murcia,July 2018
1350,A321,Solo Leisure,Business Class,London to Amsterdam,July 2018
1351,Boeing 777,Family Leisure,Economy Class,Aberdeen to Abu Dhabi via London,July 2018
1352,A320 / Boeing 747-400,Solo Leisure,Economy Class,Prague to Denver via London,June 2018
1353,A319,Couple Leisure,Economy Class,Seville to Gatwick,July 2018
1354,,Solo Leisure,Economy Class,London to Amsterdam,July 2018
1355,,Couple Leisure,Business Class,Gatwick to Barcelona,July 2018
1356,Boeing 777 / A380,Business,Premium Economy,HKG to LHR,June 2018
1357,A320,Solo Leisure,Business Class,Faro to Gatwick,July 2018
1358,A320,Solo Leisure,Business Class,Gatwick to Faro,July 2018
1359,Boeing 787-9 / A380-800,Solo Leisure,First Class,Jeddah to Chicago via London,May 2018
1360,,Business,Business Class,London to Frankfurt,July 2018
1361,A321,Solo Leisure,Business Class,Gatwick to Malaga,July 2018
1362,Boeing 777-200,Couple Leisure,Business Class,Bermuda to Gatwick,May 2018
1363,,Business,Economy Class,Aberdeen to Boston via London,July 2018
1364,A319,Solo Leisure,Economy Class,London to Hamburg,June 2018
1365,,Family Leisure,Premium Economy,London Heathrow to Hong Kong,July 2018
1366,,Couple Leisure,Economy Class,London to Istanbul,June 2018
1367,A320,Solo Leisure,Economy Class,Munich to London Heathrow,July 2018
1368,,Couple Leisure,Business Class,Edinburgh-Florence,July 2018
1369,,Solo Leisure,Economy Class,London Heathrow to Manchester,July 2018
1370,,Couple Leisure,Economy Class,London to Madrid,July 2018
1371,Boeing 777,Business,Business Class,London to Shanghai,June 2018
1372,Boeing 777,Family Leisure,Economy Class,London to Tehran,August 2017
1373,A321,Couple Leisure,Economy Class,Pisa to London Heathrow,July 2018
1374,Boeing 747,Business,First Class,London Heathrow to Las Vegas,June 2018
1375,Boeing 747,Couple Leisure,Economy Class,Dublin to Miami via London,June 2018
1376,,Family Leisure,Economy Class,Johannesburg to Heathrow,June 2018
1377,,Couple Leisure,Economy Class,Toronto to London,July 2018
1378,,Couple Leisure,Business Class,Rome to Gatwick,August 2017
1379,,Solo Leisure,Premium Economy,Mumbai to Edinburgh via London,June 2018
1380,,Solo Leisure,Business Class,Mumbai to London Heathrow,June 2018
1381,Boeing 747 / 777,Solo Leisure,Premium Economy,Delhi to London,June 2018
1382,Boeing 787(9),Couple Leisure,Business Class,Seychelles to London,June 2018
1383,A320,Couple Leisure,Business Class,Gatwick to Gibraltar,June 2018
1384,A380,Business,First Class,London to Vancouver,June 2018
1385,,Business,Economy Class,Milan to London,June 2018
1386,Boeing 747,Family Leisure,Economy Class,New York JFK to Rome via London Heathrow,June 2018
1387,Boeing 777,Business,Business Class,Newark to London Heathrow,June 2018
1388,Boeing 747 and Boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle,June 2018
1389,Boeing 747,Solo Leisure,Economy Class,London to Johannesburg,April 2018
1390,Boeing 787,Couple Leisure,Premium Economy,Calgary to London,June 2018
1391,Boeing 767,Business,Economy Class,London to Zurich,June 2018
1392,Boeing 747,Couple Leisure,Economy Class,Glasgow to New York via London,June 2018
1393,Boeing 787,Solo Leisure,Economy Class,London Heathrow to Baltimore,June 2018
1394,A380 and 747,Couple Leisure,Business Class,London to Johannesburg,February 2018
1395,,Couple Leisure,Premium Economy,Los Angeles to London,May 2018
1396,,Couple Leisure,Economy Class,Tampa to London,May 2018
1397,Boeing 747-400,Couple Leisure,Business Class,Cape Town to London Heathrow,June 2018
1398,,Solo Leisure,Economy Class,Gatwick to San Jose,June 2018
1399,Boeing 777-200 ER,Solo Leisure,Premium Economy,Toronto to London,June 2018
1400,Boeing 747-400,Couple Leisure,Economy Class,London to Chicago,April 2018
1401,,Business,First Class,Geneva to Vancouver via London,March 2018
1402,A320,Couple Leisure,Business Class,London Heathrow to Corfu,May 2018
1403,A320,Couple Leisure,Economy Class,Barcelona to Gatwick,June 2018
1404,,Business,Business Class,Hong Kong to London,June 2018
1405,Boeing 747 / A320,Solo Leisure,Business Class,Washington to Bucharest via London,May 2018
1406,A320,Solo Leisure,Economy Class,London to Warsaw,May 2018
1407,A320,Solo Leisure,Economy Class,London to Istanbul,May 2018
1408,Boeing 747-400,Couple Leisure,First Class,London to Cape Town,May 2018
1409,Boeing 747,Solo Leisure,First Class,Miami to Hamburg via London,May 2018
1410,,Solo Leisure,Economy Class,Turin to London Gatwick,May 2018
1411,,Business,Economy Class,Frankfurt to London Cuty,May 2018
1412,,Couple Leisure,Economy Class,London to Madrid,May 2018
1413,A380,Business,Business Class,Los Angeles to London Heathrow,May 2018
1414,A320,Family Leisure,Economy Class,London Heathrow to Mahon,May 2018
1415,Boeing 777-200,Business,First Class,Dubai to London Heathrow,May 2018
1416,A380,Solo Leisure,Economy Class,London Heathrow to Singapore,May 2018
1417,,Couple Leisure,Economy Class,Paris to Newark,May 2018
1418,,Couple Leisure,Economy Class,Heraklion to Gatwick,May 2018
1419,Boeing 747 400,Couple Leisure,Premium Economy,Washington to London,May 2018
1420,A380,Business,Economy Class,Singapore to London,May 2018
1421,Boeing 777-200,Business,Economy Class,Sydney to London via Singapore,May 2018
1422,,Couple Leisure,Business Class,Malaga to Gatwick,May 2018
1423,,Solo Leisure,Economy Class,Barcelona to Gatwick,May 2018
1424,A321,Business,Economy Class,Munich to London,May 2018
1425,A320,Solo Leisure,Economy Class,London to Reykjavik,May 2018
1426,Boeing 747-400,Business,Business Class,Cape Town to London,May 2018
1427,Boeing 787 / A320,Couple Leisure,Economy Class,Washington to Prague via London,May 2018
1428,Boeing 747,Solo Leisure,First Class,London to Washington,May 2018
1429,Boeing 747,Solo Leisure,Economy Class,Washington to Glasgow via London,May 2018
1430,,Solo Leisure,Economy Class,London to Montreal,March 2018
1431,Boeing 777-300ER / A320,Solo Leisure,Economy Class,Tokyo to Amsterdam via London,May 2018
1432,A320,Business,Business Class,Vienna to London Heathrow,May 2018
1433,A320,Solo Leisure,Economy Class,London Heathrow to Vienna,May 2018
1434,,Couple Leisure,Economy Class,Glasgow to Heathrow,May 2018
1435,Boeing 747,Business,Business Class,London to Phoenix,May 2018
1436,,Solo Leisure,Economy Class,Glasgow to Heathrow,May 2018
1437,A319 / Boeing 777,Solo Leisure,Economy Class,Brussels to Shanghai via London,April 2018
1438,A380,Solo Leisure,Economy Class,Chicago to London Heathrow,May 2018
1439,A320 / Boeing 787,Couple Leisure,Economy Class,Athens to Philadelphia via London,April 2018
1440,Boeing 777,Couple Leisure,Business Class,Hong Kong to London,April 2018
1441,A380,Solo Leisure,Business Class,Los Angeles to London Heathrow,April 2018
1442,A319 / Boeing 787-8,Solo Leisure,Premium Economy,Hamburg to Abu Dhabi via London,May 2018
1443,Boeing 787-8,Family Leisure,Business Class,GIG to LHR,April 2018
1444,Boeing 747,Solo Leisure,Premium Economy,London Heathrow to Vancouver,April 2018
1445,Boeing 767,Business,Business Class,Madrid to London,April 2018
1446,,Solo Leisure,Economy Class,Venice to Gatwick,February 2018
1447,A380,Business,Business Class,Singapore to Dublin via London,March 2018
1448,,Couple Leisure,Economy Class,London to Budapest,April 2018
1449,,Business,Economy Class,Florence to London Gatwick,April 2018
1450,Boeing 777-300,Family Leisure,Business Class,London to Sao Paulo,April 2018
1451,Boeing 777,Couple Leisure,Business Class,Tampa to London Gatwick,April 2018
1452,A319,Business,Business Class,London Heathrow to Dusseldorf,February 2018
1453,A320,Business,Business Class,Madrid to London,April 2018
1454,A321,Business,Business Class,London to Moscow,March 2018
1455,Boeing 747-400,Solo Leisure,Economy Class,Miami to London,March 2018
1456,,Couple Leisure,Economy Class,Gatwick to Barbados,December 2017
1457,Boeing 747-400,Solo Leisure,Economy Class,London Heathrow to Dallas,April 2018
1458,A320,Business,Business Class,London to Copenhagen,April 2018
1459,,Business,Economy Class,Istanbul to London,April 2018
1460,A380,Family Leisure,Premium Economy,Los Angeles to London,April 2018
1461,,Business,Economy Class,Belfast to London,April 2018
1462,,Solo Leisure,Economy Class,Naples to Gatwick,April 2018
1463,Boeing 777-300,Family Leisure,Premium Economy,São Paulo to London Heathrow,April 2018
1464,,Couple Leisure,Premium Economy,Dallas to Lagos via London Heathrow,February 2018
1465,A320,Couple Leisure,Economy Class,Budapest to London Heathrow,March 2018
1466,Boeing 777,Family Leisure,Economy Class,London Heathrow to New York JFK,April 2018
1467,,Solo Leisure,Economy Class,London to Vienna,December 2017
1468,Boeing 787-9,Family Leisure,Premium Economy,London Heathrow to Cairo,April 2018
1469,Boeing 777,Couple Leisure,Business Class,St Lucia to Gatwick,March 2018
1470,Boeing 777-200,Couple Leisure,Business Class,Fort Lauderdale to Gatwick,March 2018
1471,Boeing 747,Family Leisure,Business Class,Dubai to London Heathrow,March 2018
1472,,Couple Leisure,Economy Class,London to Las Vegas,March 2018
1473,,Solo Leisure,Economy Class,Tampa to Gatwick,March 2018
1474,A320,Business,Economy Class,Heathrow to Keflavik,March 2018
1475,Boeing 787-9,Solo Leisure,First Class,London to Muscat,March 2018
1476,,Family Leisure,Economy Class,Cape Town to London,March 2018
1477,A320,Family Leisure,Business Class,Gatwick to Madeira,March 2018
1478,,Solo Leisure,Economy Class,London to Casablanca,March 2018
1479,,Solo Leisure,Economy Class,Berlin to Hong Kong via London,February 2018
1480,,Solo Leisure,Economy Class,Hyderabad to Brussels via London,March 2018
1481,Boeing 777-200,Couple Leisure,Business Class,London Gatwick to Fort Lauderdale,March 2018
1482,,Business,Business Class,Milan to London Heathrow,March 2018
1483,,Family Leisure,Business Class,London to Helsinki,March 2018
1484,,Solo Leisure,Economy Class,London Heathrow to Denver,March 2018
1485,,Solo Leisure,Economy Class,Heathrow to Kuala Lumpur,March 2018
1486,Boeing 777-200,Business,Business Class,Bangkok to London,March 2018
1487,,Couple Leisure,Business Class,Beijing to London,March 2018
1488,,Couple Leisure,Business Class,London to Beijing,March 2018
1489,Boeing 777,Couple Leisure,Economy Class,Bangkok to London,March 2018
1490,Boeing 777,Solo Leisure,Economy Class,Moscow to Heathrow,February 2018
1491,Boeing 787-9,Business,First Class,London Heathrow to Delhi Airport,October 2017
1492,,Solo Leisure,Economy Class,Belfast to Lisbon via London,March 2018
1493,,Solo Leisure,Economy Class,London to Belfast,March 2018
1494,Boeing 747-400,Business,Economy Class,Miami to London,March 2018
1495,A320,Business,Business Class,Warsaw to London,March 2018
1496,,Solo Leisure,Economy Class,Stockholm to London,March 2018
1497,,Business,Economy Class,Lisbon to London Heathrow,March 2018
1498,A380,Business,Premium Economy,Singapore to Heathrow,March 2018
1499,Boeing 777,Business,Business Class,Chicago to Chennai via London,February 2018
1500,Boeing 787,Solo Leisure,Economy Class,London Heathrow to Toronto,February 2018
1501,A380,Business,Business Class,London to Hong Kong,February 2018
